FOOD,CO2_KILOS
Lamb,39.2
Beef,27.0
Cheese,13.5
Pork,12.1
Turkey,10.9
Chicken,6.9
Tuna,6.1
Eggs,4.8
Potatoes,2.9
Rice,2.7
Nuts,2.3
Beans,2.0
Tofu,2.0
Artichoke,2.0
Arugula,2.0
Asparagus,2.0
Basil,2.0
Beans,2.0
Beets,2.0
Bok choy,2.0
Broccoli,2.0
Broccoli raab,2.0
Brussel sprouts,2.0
Cabbage,2.0
Cantaloupe,2.0
Carrots,2.0
Cauliflower,2.0
Celery,2.0
Chile peppers,2.0
Chives,2.0
Collards,2.0
Corn,2.0
Cucumber,2.0
Dill,2.0
Eggplant,2.0
English,2.0
Escarole,2.0
French sorrel,2.0
Garlic,2.0
Kale,2.0
Kohlrabi,2.0
Leeks,2.0
Lettuce,2.0
Okra,2.0
Onions,2.0
Radicchio,2.0
Parsnip,2.0
Peppers,2.0
Potatoes,2.0
Pumpkin,2.0
Pumpkins,2.0
Radish,2.0
Rhubarb,2.0
Rutabagas,2.0
Shallots,2.0
Snap peas,2.0
Spinach,2.0
Summer squash,2.0
Sweet potatoes,2.0
Tomatillo,2.0
Tomatoes,2.0
Turnips,2.0
Watermelon,2.0
Winter squash,2.0
Zucchini,2.0
Milk,1.9
Apple,1.1
Apples,1.1
Apricot,1.1
Banana,1.1
Blueberries,1.1,
Blueberry,1.1
Cantaloupe,1.1
Cherries,1.1
Dewberry,1.1
Elephant Fruit,1.1
Fig,1.1
Grapes,1.1
Honeydew,1.1
Horned Melon,1.1
Jabuticaba,1.1
Kiwi,1.1
Lychee,1.1
Mammee Apple,1.1
Mango,1.1
Noni,1.1
Olive,1.1
Peach,1.1
Rambutan,1.1
Quince,1.1
Raspberry,1.1
Strawberry,1.1
Tomatillo,1.1
Ugli fruit,1.1
Xylocarp,1.1
Watermelon,1.1
Yali Pear,1.1
Zucchini,1.1
Lentils,0.9
